Country,Year,Code,Regime Type,Region,Continent,Happiness,Binary Happiness,PPP per capita,Unemployment Percent,Health expenditure,Male Life Expectancy,Adolescent fertility
Afghanistan,2015,700,Authoritarian,Southern Asia,Asia,3.983,0,1802.05,8.86,10.29759,62.046,73.1264
Argentina,2015,160,Flawed democracy,Latin America and Caribbean,South America,6.697,1,19116.91,7.15,6.834533,72.594,63.2644
Armenia,2015,371,Hybrid regime,Central and Eastern Europe,Europe,4.348,0,8195.93,18.26,10.14084,71.094,24.785
Australia,2015,900,Full democracy,Australia and New Zealand,Pacific,7.309,1,43923.26,6.06,9.445333,80.4,13.6616
Austria,2015,305,Full democracy,Western Europe,Europe,7.076,1,44304.97,5.72,10.31988,78.8,7.522
Azerbaijan,2015,373,Authoritarian,Central and Eastern Europe,Europe,5.147,0,16698.86,4.96,6.678018,68.913,51.7
Bahrain,2015,692,Authoritarian,Middle East and Northern Africa,Africa,6.007,1,43926.47,1.21,5.155972,75.933,13.618
Bangladesh,2015,771,Hybrid regime,Southern Asia,Asia,4.633,0,3132.57,4.43,2.639473,70.586,85.3076
Belarus,2015,370,Authoritarian,Central and Eastern Europe,Europe,5.719,1,17219.12,0.49,6.111325,68.6,18.7992
Belgium,2015,211,Flawed democracy,Western Europe,Europe,6.904,1,41708.21,8.48,10.47713,78.7,5.3384
Benin,2015,434,Hybrid regime,Sub-Saharan Africa,Africa,3.625,0,1987.14,2.63,3.991901,59.132,90.2036
Bolivia,2015,145,Hybrid regime,Latin America and Caribbean,South America,5.834,1,6531.52,3.07,6.41118,66.322,69.9186
Bosnia and Herzegovina,2015,346,Hybrid regime,Central and Eastern Europe,Europe,5.117,0,10932.41,27.69,9.38256,74.172,10.8342
Botswana,2015,571,Flawed democracy,Sub-Saharan Africa,Africa,3.762,0,15032.7,17.02,5.970916,62.935,33.4544
Brazil,2015,140,Flawed democracy,Latin America and Caribbean,South America,6.547,1,14702.59,8.44,8.911484,71.644,63.7578
Bulgaria,2015,355,Flawed democracy,Central and Eastern Europe,Europe,4.865,0,16999.05,9.14,8.203093,71.2,41.0864
Burkina Faso,2015,439,Hybrid regime,Sub-Saharan Africa,Africa,4.419,0,1596.34,6.49,5.446772,59.191,108.7606
Cambodia,2015,811,Authoritarian,Southeastern Asia,Asia,4.162,0,3290.95,0.18,5.446772,66.474,49.6326
