Country,Year,Code,Happiness,Happiness Binary,PPP per capita,Unemployment Percent,Political Stability,Rule of Law,Voice and Accountability,Labor force female,Male Life Expectancy,Female Life Expectancy,MMR,Adolescent fertility,Tuberculosis
Afghanistan,2014,700,3.131,0,1829.33,8.71,-2.411,-1.446,-1.135,18.48999977,61.67,64.197,425,77.4586,189
Albania,2014,339,4.814,0,10700.54,17.49,0.486,-0.338,0.144,51.93099976,75.974,80.124,29,20.7048,16
Argentina,2014,160,6.671,1,18797.55,7.27,-0.005,-0.886,0.345,54.85699844,72.414,80.04,54,63.5016,25
Armenia,2014,371,4.453,0,7971.12,17.5,-0.297,-0.366,-0.562,57.97499847,70.903,77.292,26,25.595,57
Australia,2014,900,7.289,1,43547.2,6.07,1.032,1.923,1.362,70.51000214,80.3,84.4,6,14.0414,6.5
Austria,2014,305,6.95,1,44320.5,5.62,1.271,1.952,1.391,70.88899994,79.1,84,4,7.836,7.5
Azerbaijan,2014,373,5.252,0,16715.11,4.91,-0.56,-0.672,-1.479,67.40000153,68.795,74.801,26,50.788,76
Bahrain,2014,692,6.165,1,43837.34,1.21,-0.907,0.414,-1.311,45.1269989,75.804,77.693,15,13.743,16
Bangladesh,2014,771,4.636,0,2973.04,4.43,-0.896,-0.778,-0.474,33.48199844,70.278,73.545,188,86.2074,221
Belarus,2014,370,5.812,1,17933.34,0.49,0.18,-0.84,-1.443,73.88800049,67.8,78.4,4,19.6188,51
Belgium,2014,211,6.855,1,41360.4,8.52,0.701,1.523,1.366,62.88499832,78.8,83.9,7,5.5686,9.1
Benin,2014,434,3.347,0,2001.08,2.63,0.027,-0.488,0.266,69.73699951,58.883,61.825,414,92.2574,61
Bolivia,2014,145,5.865,1,6324.83,2.01,-0.333,-1.055,-0.026,62.77000046,65.943,70.878,215,70.8054,120
Bosnia and Herzegovina,2014,346,5.249,0,10516.73,27.52,-0.019,-0.186,-0.071,44.4659996,73.986,79.065,12,11.2418,42
Botswana,2014,571,4.031,0,15578.83,17.35,1.012,0.634,0.435,67.3789978,61.79,67.744,134,35.1906,385
Brazil,2014,140,6.981,1,15374.26,6.67,-0.07,-0.05,0.472,58.52099991,71.388,78.707,46,64.8382,43
Bulgaria,2014,355,4.438,0,16324.28,11.42,0.079,-0.046,0.366,65.01399994,71.1,78,11,41.8796,32
Burkina Faso,2014,439,3.481,0,1582.33,6.5,-0.787,-0.547,-0.352,59.78699875,58.747,60.035,379,110.9764,54
Cambodia,2014,811,3.883,0,3124.32,0.18,0.023,-0.955,-1.108,83.31900024,66.116,70.196,167,49.3604,390
Cameroon,2014,471,4.24,0,3196.36,4.32,-1.059,-0.896,-0.944,71.95200348,55.9,58.335,609,114.8954,220
Canada,2014,20,7.304,1,43079.14,6.91,1.176,1.891,1.412,74.15599823,80.015,83.988,7,10.5612,5.1
Chad,2014,483,3.46,0,2076.65,5.68,-1.569,-1.139,-1.331,65.29199982,51.024,53.396,881,171.368,159
Chile,2014,155,6.844,1,22195.27,6.66,0.448,1.433,1.056,56.39799881,76.484,81.569,23,48.471,16
China,2014,710,5.196,0,12758.65,4.59,-0.523,-0.414,-1.617,69.22799683,74.485,77.503,28,6.6912,68
Colombia,2014,100,6.449,1,12665.75,8.53,-1.115,-0.292,-0.043,62.68999863,70.477,77.656,66,53.577,30
"Congo, Rep",2014,484,4.056,0,5538.05,10,-0.359,-1.109,-1.108,68.77300262,61.968,65.14,452,118.6338,381
Costa Rica,2014,94,7.247,1,14372.4,9.12,0.577,0.561,1.138,54.83399963,77.011,81.943,26,56.822,12
